Single_models,TN,FP,FN,TP,LogLoss,Precision,Recall,Specificity,NPV,F1-score,P4-score
LinearSVC_l1_shinge,566.0,153.0,27.0,289.0,6.268461458976897,0.653846,0.914557,0.787204,0.045531,0.762533,0.809576
LinearSVC_l2_shinge,561.0,158.0,61.0,255.0,7.626628108421889,0.617433,0.806962,0.78025,0.098071,0.699588,0.762021
NuSVC_linear,689.0,30.0,114.0,202.0,5.014769167181517,0.87069,0.639241,0.958275,0.141968,0.737226,0.812699
NuSVC_poly,697.0,22.0,111.0,205.0,4.631696522466262,0.903084,0.648734,0.969402,0.137376,0.755064,0.826515
NuSVC_rbf,696.0,23.0,108.0,208.0,4.562046950699852,0.900433,0.658228,0.968011,0.134328,0.760512,0.830216
NuSVC_sigmoid,671.0,48.0,178.0,138.0,7.870401609604325,0.741935,0.436709,0.933241,0.209658,0.549801,0.669513
SVC_linear,697.0,22.0,236.0,80.0,8.984794757866885,0.784314,0.253165,0.969402,0.252947,0.382775,0.526651
SVC_poly,618.0,101.0,20.0,296.0,4.213799091867802,0.745592,0.936709,0.859527,0.031348,0.830295,0.868701
SVC_rbf,605.0,114.0,21.0,295.0,4.701346094232672,0.721271,0.933544,0.841446,0.033546,0.813793,0.854561
SVC_sigmoid,555.0,164.0,76.0,240.0,8.357948611969196,0.594059,0.759494,0.771905,0.120444,0.666667,0.736318
DecisionTreeClassifier_gini_3,480.0,239.0,57.0,259.0,10.308136621428673,0.52008,0.81962,0.667594,0.106145,0.636364,0.694502
DecisionTreeClassifier_entr_3,627.0,92.0,125.0,191.0,7.55697853665548,0.674912,0.60443,0.872045,0.166223,0.63773,0.729632
DecisionTreeClassifier_ll_3,627.0,92.0,125.0,191.0,7.55697853665548,0.674912,0.60443,0.872045,0.166223,0.63773,0.729632
DecisionTreeClassifier_gini_7,595.0,124.0,57.0,259.0,6.303286244860101,0.67624,0.81962,0.827538,0.087423,0.741059,0.799513
DecisionTreeClassifier_entr_7,535.0,184.0,42.0,274.0,7.870401609604325,0.598253,0.867089,0.744089,0.07279,0.70801,0.762304
DecisionTreeClassifier_ll_7,535.0,184.0,42.0,274.0,7.870401609604325,0.598253,0.867089,0.744089,0.07279,0.70801,0.762304
DecisionTreeClassifier_gini_11,625.0,94.0,61.0,255.0,5.397841811896772,0.730659,0.806962,0.869263,0.088921,0.766917,0.82375
DecisionTreeClassifier_entr_11,620.0,99.0,67.0,249.0,5.7809144566120265,0.715517,0.787975,0.862309,0.097525,0.75,0.810634
DecisionTreeClassifier_ll_11,620.0,99.0,67.0,249.0,5.7809144566120265,0.715517,0.787975,0.862309,0.097525,0.75,0.810634
